Üniversite,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
MARMARA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),İSTANBUL,23696,SOZ
GAZİ ÜNİVERSİTESİ Gazi Eğitim Fakültesi Akademik Kadro,Tarih Öğretmenliği (4 Yıllık),ANKARA,23717,SOZ
MARMARA ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),İSTANBUL,23809,SOZ
BALIKESİR ÜNİVERSİTESİ Necatibey Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),BALIKESİR,23852,SOZ
İSTANBUL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),İSTANBUL,23860,SOZ
ATATÜRK ÜNİVERSİTESİ Kazım Karabekir Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ERZURUM,24155,SOZ
İNÖNÜ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),MALATYA,24201,SOZ
MARMARA ÜNİVERSİTESİ Atatürk Eğitim Fakültesi Akademik Kadro,Tarih Öğretmenliği (4 Yıllık),İSTANBUL,24330,SOZ
HARRAN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ŞANLIURFA,24456,SOZ
SAKARYA ÜNİVERSİTESİ Eğitim Fakültesi (Hendek) Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),SAKARYA,24548,SOZ
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),MUĞLA,24827,SOZ
TRABZON ÜNİVERSİTESİ Fatih Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),TRABZON,25154,SOZ
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),NEVŞEHİR,25179,SOZ
BALIKESİR ÜNİVERSİTESİ Necatibey Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),BALIKESİR,25453,SOZ
TRAKYA ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),EDİRNE,25897,SOZ
GAZİ ÜNİVERSİTESİ Gazi Eğitim Fakültesi Akademik Kadro,Coğrafya Öğretmenliği (4 Yıllık),ANKARA,25961,SOZ
MARMARA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),İSTANBUL,25975,SOZ
SAKARYA ÜNİVERSİTESİ Eğitim Fakültesi (Hendek) Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),SAKARYA,26084,SOZ
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),KÜTAHYA,26716,SOZ
MARMARA ÜNİVERSİTESİ Atatürk Eğitim Fakültesi Akademik Kadro,Coğrafya Öğretmenliği (4 Yıllık),İSTANBUL,26728,SOZ
ORDU ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ORDU,27227,SOZ
MUŞ ALPARSLAN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),MUŞ,27280,SOZ
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),BOLU,27502,SOZ
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),ANTALYA,27503,SOZ
KIRIKKALE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),KIRIKKALE,27545,SOZ
HACETTEPE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),ANKARA,27715,SOZ
SÜLEYMAN DEMİREL ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),ISPARTA,27738,SOZ
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),ESKİŞEHİR,27788,SOZ
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),NİĞDE,28447,SOZ
AFYON KOCATEPE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),AFYONKARAHİSAR,28566,SOZ
AMASYA ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),AMASYA,28609,SOZ
